fabric_name,color
Wheat 1386,#c7a36c
Sweet Pea 201,#9a9238
Biscuit 1473,#a18c43
Cobblestone 486,#9e8964
Taupe 1371,#9b855d
Suede 1855,#98826d
Mushroom 1239,#858659
Herb 340,#7b7543
Bison 1017,#665e30
Earth 138,#6d4c18
Moss 1238,#554f03
Sable 275,#5b4822
Cappuccino 406,#53401f
Mocha 1237,#553723
Chestnut 407,#463302
Chocolate 1073,#382d1d
Coffee 1083,#302418
Espresso 1136,#17171c
